Hashtags,Text,FavCount,Language,Place,UserLocation,RetweetCount,Sentiment,Polarity
women WITBragDay,3 degrees in building industry and they rejected me because #women. IT industry welcomed me with open arms. Not a single regret #WITBragDay,9,en,,"Wroclaw, Poland",2,"Sentiment(polarity=0.017857142857142856, subjectivity=0.35714285714285715)",positive
WITBragDay,@azimman @LaunchDarkly sounds like you should look at the #WITBragDay tag :P,1,en,,/usr/local/sin,0,"Sentiment(polarity=0.75, subjectivity=1.0)",positive
WITBragDay,My coding knowledge makes a difference and improves the lives of my coworkers and our customers. And it's the coolest feeling. #WITBragDay,6,en,,"Zionsville, IN",2,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,"Built a ECS JSON-generating container definition module entirely in Terraform, because why would you not. #WITBragDay",3,en,,"Wellington, New Zealand ",2,"Sentiment(polarity=0.0, subjectivity=0.625)",neutral
WITBragDay,Recruiters should definitely be scrolling through #WITBragDay for their lists. Tons of awesome talent in there.,203,en,,/usr/local/sin,76,"Sentiment(polarity=0.5, subjectivity=0.75)",positive
WITBragDay,Started a company doing DevOps consulting. Still proud of this one. _Ÿ˜„ #WITBragDay,22,en,,"Wellington, New Zealand ",2,"Sentiment(polarity=0.8, subjectivity=1.0)",positive
WITBragDay,"I just learned about #WITBragDay and wish I would've participated that day. That said, check out the tweets. They're amazing.",0,en,,"Zionsville, IN",1,"Sentiment(polarity=0.6000000000000001, subjectivity=0.9)",positive
WITBragDay,"_Ÿ‘ç_Ÿè»RT @matthewbretten: @ColetteWeston @drjessicabarker Definitely a #WITBragDay",2,en,,"Preston, Lancs, England, Europe, The World_Ÿ‘ç_Ÿè»",0,"Sentiment(polarity=0.0, subjectivity=0.5)",neutral
WITBragDay,So happy to hear women getting recruiter pings after #WITBragDay :D,214,en,,/usr/local/sin,25,"Sentiment(polarity=0.9, subjectivity=1.0)",positive
,Yayyy https://t.co/lg9Hsns7m8,1,und,,,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,@ColetteWeston @drjessicabarker Definitely a #WITBragDay,2,en,,"North West, England",0,"Sentiment(polarity=0.0, subjectivity=0.5)",neutral
,Booooommm https://t.co/yuGUkvYezZ,1,und,,"Cape Town, South Africa",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,"Just reading tweets from #WITBragDay fires me up.It motivates me to learn and become a programming diva. _Ÿ˜…_Ÿ˜…_Ÿ˜…_Ÿ’•",7,en,,"Kigali, Rwanda ",0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,Women in tech. Take that Google dude. https://t.co/GUd2ZVZQFQ,0,en,,Adelaide,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,"I love reading the #WITBragDay stream, enviable achievements by capable people who all happen to be women. Gives hope for the tech industry.",2,en,,"Zagreb, Croatia",1,"Sentiment(polarity=0.35, subjectivity=0.5)",positive
WiTBragDay,All the tweets on #WiTBragDay are _Ÿ˜ç,6,en,,Bombay - Delhi - Calcutta,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
sociologist FE Developer PyCodeCarrots GirlsJS workshops CodeLikeAGirl WITBragDay,I'm #sociologist &amp; #FE #Developer _Ÿ’–Organizer of @railsgirls_poz #PyCodeCarrots #GirlsJS &amp; @Devoxx4Kids #workshops #CodeLikeAGirl #WITBragDay,5,en,,PoznaÅ„,1,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,Started career in IT as coder and moved on to become entrepreneur in IT...loads to do &amp; long journey to traverse still #WITBragDay,12,en,,"Chennai, India",2,"Sentiment(polarity=-0.05, subjectivity=0.4)",negative
WITBragDay,"I completed a degree in computer science and now I'm a software developer. Don't need to say more than that.#WITBragDay",5,en,,"Jerusalem, Israel",1,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
,Pour ceux qui proclament que les femmes ne savent pas coder... https://t.co/IFhoRFcFcz,0,fr,,,0,"Sentiment(polarity=0.0, subjectivity=0.0)",neutral
WITBragDay,Check out all the awesome accomplishments under #WITBragDay,2,en,,"MalmÃ¶, Sweden",0,"Sentiment(polarity=1.0, subjectivity=1.0)",positive
